match,blue_score,yellow_score,blue_robot_0_possession_frame,blue_robot_1_possession_frame,blue_robot_2_possession_frame,yellow_robot_0_possession_frame,yellow_robot_1_possession_frame,yellow_robot_2_possession_frame,blue_robot_0_intercept_time,blue_robot_1_intercept_time,blue_robot_2_intercept_time,yellow_robot_0_intercept_time,yellow_robot_1_intercept_time,yellow_robot_2_intercept_time,blue_robot_0_pass_time,blue_robot_1_pass_time,blue_robot_2_pass_time,yellow_robot_0_pass_time,yellow_robot_1_pass_time,yellow_robot_2_pass_time,ball_in_blue_half_frame,ball_in_yellow_half_frame
0,1,2,13,268,0,163,56,466,1,6,0,1,0,7,3,3,0,2,2,4,362,638
1,1,1,264,117,47,55,1,508,4,4,1,0,1,9,2,0,0,1,0,2,388,612
2,4,0,323,175,97,0,28,334,13,3,1,0,1,21,3,4,3,0,0,0,678,322
3,2,3,92,252,161,0,89,388,1,6,5,0,1,8,2,1,2,0,1,2,488,512
4,1,3,290,271,5,0,27,342,3,13,1,0,3,15,3,2,1,0,0,1,389,611
5,4,4,68,139,0,19,94,678,2,6,0,1,1,5,3,1,0,0,2,3,652,348
6,2,1,255,257,66,14,0,384,6,7,0,0,0,14,3,3,3,1,0,1,679,321
7,2,1,200,243,30,63,42,364,9,4,2,3,2,13,2,3,2,4,2,0,650,350
8,2,0,394,197,67,0,0,319,12,3,4,0,0,17,5,5,3,0,0,0,860,140
9,0,2,289,57,69,0,0,544,11,3,2,0,0,20,2,3,0,0,0,0,156,844
10,2,1,382,123,174,34,6,267,1,6,9,4,4,7,5,3,1,0,0,0,682,318
11,0,0,252,182,130,0,0,244,6,7,16,0,0,23,1,1,0,0,0,0,757,243
12,1,1,0,212,51,4,112,534,0,8,3,1,2,15,0,0,0,0,0,1,407,593
13,0,0,29,167,146,86,1,421,6,8,9,0,0,22,0,1,0,1,1,0,570,430
14,2,1,274,157,7,56,123,308,13,6,0,1,10,9,3,3,2,2,0,2,679,321
15,1,2,85,105,12,65,141,580,4,3,1,1,1,6,0,2,0,2,0,3,362,638
16,0,0,173,69,485,0,35,32,3,2,11,0,1,4,3,0,1,0,0,0,1000,0
17,4,0,169,303,84,96,1,302,3,11,0,5,1,10,1,1,1,0,0,0,679,321
18,2,1,98,175,120,65,2,390,3,12,6,1,1,22,0,4,1,1,0,0,700,300
19,2,1,136,128,0,21,63,602,6,5,0,1,0,20,2,3,0,1,1,2,371,629
20,3,1,157,335,36,76,21,286,4,7,1,3,1,12,2,4,1,3,2,0,680,320
21,1,2,168,77,38,0,0,713,2,3,1,0,0,5,3,3,0,0,0,0,204,796
22,1,0,93,262,96,46,52,391,6,16,5,0,0,20,4,6,6,1,1,0,617,383
23,1,1,334,88,21,0,1,419,12,9,1,0,1,27,4,4,4,0,0,1,665,335
24,3,0,298,170,25,0,2,437,9,1,1,0,1,11,2,4,0,0,0,0,469,531
25,1,0,93,310,168,0,3,369,5,5,5,0,0,15,1,5,3,0,2,1,878,122
26,1,1,341,285,59,42,34,205,9,17,1,2,3,18,4,4,2,0,2,3,710,290
27,1,0,327,227,134,2,0,234,10,7,3,1,0,6,13,9,7,0,0,0,813,187
28,1,1,299,183,43,39,0,371,7,6,3,4,0,9,3,2,2,1,0,0,500,500
29,2,1,210,182,7,44,64,472,1,9,2,2,2,10,2,2,1,4,0,6,429,571
30,1,1,163,268,140,82,13,256,5,7,4,2,3,7,5,5,1,2,0,3,449,551
31,0,0,66,195,473,51,0,143,6,5,18,1,0,6,14,2,12,3,0,2,1000,0
32,2,1,296,301,0,16,0,370,7,5,0,1,0,13,4,1,0,0,0,0,406,594
33,0,1,109,394,17,18,2,306,3,13,3,1,2,16,2,3,1,0,0,0,694,306
34,2,2,235,318,23,23,0,341,8,5,0,0,0,10,4,3,1,1,0,1,378,622
35,1,0,106,110,0,0,0,783,1,3,0,0,0,5,1,1,0,0,0,0,128,872
36,1,1,221,362,1,45,0,275,4,11,1,3,0,12,3,4,0,3,0,1,623,377
37,1,0,201,221,166,128,0,240,2,4,17,6,0,6,1,1,0,0,0,0,894,106
38,1,0,38,283,21,27,25,600,1,5,0,1,1,7,1,1,0,0,0,1,284,716
39,0,0,227,73,54,58,74,444,23,6,2,4,3,22,1,1,1,1,3,3,342,658
40,2,2,239,224,56,0,3,450,3,9,4,0,0,12,2,1,3,0,2,2,521,479
41,1,0,281,101,1,20,22,531,6,6,1,1,2,16,0,1,0,0,1,2,646,354
42,0,1,161,165,283,107,0,222,9,6,8,4,0,9,11,4,10,0,0,1,631,369
43,1,0,219,175,155,102,0,272,20,1,11,12,0,6,5,5,5,2,0,1,774,226
44,1,0,191,187,0,14,77,473,11,8,0,1,2,16,1,2,0,0,0,1,366,634
45,5,2,366,247,39,0,77,239,13,7,0,0,2,8,6,4,2,0,1,0,715,285
46,2,0,236,306,61,20,8,355,5,6,3,1,1,16,3,5,0,0,0,0,497,503
47,0,0,42,292,160,7,46,440,3,10,2,0,1,15,1,0,1,1,0,1,483,517
48,3,2,359,209,63,25,5,281,13,7,0,1,1,14,4,5,0,0,1,1,523,477
49,2,2,262,152,0,28,1,496,14,10,0,1,1,16,5,3,0,0,0,1,578,422
50,1,1,464,210,149,0,11,138,7,8,1,0,1,20,3,6,3,0,0,0,550,450
51,1,0,200,142,4,30,45,539,16,5,0,2,1,15,2,1,2,0,5,1,569,431
52,2,1,177,179,57,47,60,473,7,6,2,0,2,12,1,2,1,1,0,1,521,479
53,2,1,199,193,80,0,5,468,8,3,6,0,0,19,2,4,5,0,1,0,406,594
54,0,5,361,100,25,57,40,377,5,4,4,1,2,17,3,3,2,0,0,1,534,466
55,2,0,210,220,98,0,0,370,8,14,13,0,0,29,2,3,3,0,0,0,294,706
56,2,0,193,240,127,31,0,341,3,8,6,2,0,9,2,5,4,1,0,0,734,266
57,1,1,40,244,301,37,45,204,1,12,22,0,10,13,1,2,0,0,1,2,643,357
58,1,0,84,59,341,0,0,282,5,6,21,0,0,17,0,3,2,0,0,0,889,111
59,0,0,139,39,473,189,0,80,2,4,27,25,0,3,3,1,3,0,0,0,1000,0
60,0,2,95,232,0,3,0,551,4,24,0,1,0,28,3,2,0,0,0,0,506,494
61,3,0,267,321,81,33,8,248,4,6,4,0,1,10,4,4,2,1,0,1,808,192
62,0,1,370,145,41,0,106,303,4,11,5,0,1,18,2,3,0,0,1,1,794,206
63,0,0,391,0,421,0,0,130,16,0,8,0,0,13,3,0,7,0,0,0,1000,0
64,2,1,146,235,63,83,151,308,4,5,2,2,1,7,1,2,1,1,1,2,662,338
65,3,2,38,340,189,54,14,325,2,8,7,0,0,21,1,2,0,1,1,0,621,379
66,2,1,186,95,21,9,0,585,6,9,4,1,0,20,0,1,1,0,0,1,654,346
67,0,1,108,517,11,54,0,132,10,1,1,5,0,16,0,0,0,2,0,2,36,964
68,2,1,141,130,38,7,0,536,6,15,7,0,0,32,0,0,0,2,0,1,453,547
69,1,0,134,275,21,30,66,430,6,5,0,2,1,10,1,2,1,3,0,3,439,561
70,1,0,199,320,122,0,1,321,1,12,1,0,1,15,4,3,3,0,0,0,341,659
71,1,0,53,32,142,0,0,57,1,0,21,0,0,15,1,0,1,0,0,0,1000,0
72,3,1,312,182,2,41,61,309,10,5,2,0,0,17,2,2,0,1,1,1,585,415
73,4,0,206,374,9,0,0,363,10,10,1,0,0,12,3,6,0,0,0,0,746,254
74,0,3,34,229,40,68,19,559,1,9,2,8,1,15,1,1,1,0,1,5,538,462
75,1,0,92,287,14,48,31,413,0,24,1,2,1,12,3,2,0,1,1,1,437,563
76,3,0,239,191,13,0,23,515,6,9,1,0,1,13,1,2,0,0,0,1,482,518
77,1,1,76,301,49,129,64,302,7,13,6,12,0,14,1,0,0,1,1,1,635,365
78,2,0,313,189,127,25,0,294,17,3,2,1,0,14,5,3,3,0,0,0,851,149
79,4,0,139,165,97,25,19,501,8,10,2,1,2,14,3,2,3,0,0,1,692,308
80,2,2,196,296,17,23,0,453,7,0,0,1,0,11,2,5,1,0,0,1,205,795
81,2,2,129,197,68,0,0,598,4,4,2,0,0,8,3,5,1,0,0,0,327,673
82,1,1,204,283,184,85,0,196,8,7,3,0,0,13,3,2,0,2,0,1,778,222
83,1,3,107,166,11,41,15,522,6,9,4,1,0,32,1,0,0,2,1,4,416,584
84,1,0,374,203,84,3,21,259,4,2,2,2,0,8,6,5,0,0,1,1,709,291
85,0,0,238,278,62,0,0,368,2,4,0,0,0,6,1,1,2,0,0,0,208,792
86,1,1,237,248,48,107,0,335,6,12,2,4,0,18,4,1,0,2,0,0,572,428
87,4,1,282,140,52,29,0,449,6,8,1,2,0,11,3,5,3,0,0,2,723,277
88,1,1,258,107,0,11,91,449,11,5,0,1,2,12,5,4,0,1,1,1,378,622
89,2,3,260,149,24,17,0,483,12,5,3,2,0,20,0,1,0,3,0,1,275,725
90,1,3,191,252,97,46,1,374,5,6,1,2,0,13,2,2,0,1,1,1,615,385
91,2,0,78,251,192,197,1,250,6,3,16,12,1,7,0,4,1,1,0,1,637,363
92,3,0,259,395,14,0,3,292,4,12,1,0,1,10,7,7,0,0,0,0,927,73
93,1,1,73,76,1,75,101,613,5,4,1,1,1,13,0,1,0,0,2,2,562,438
94,3,1,155,345,23,4,35,389,7,7,1,0,1,8,5,4,1,1,0,2,774,226
95,0,0,221,338,20,0,99,312,5,2,1,0,1,7,2,1,0,0,0,0,396,604
96,3,1,55,201,6,137,45,499,5,14,1,4,0,18,0,0,0,4,4,3,560,440
97,3,0,161,39,6,1,3,489,5,1,0,1,1,14,1,0,1,0,1,1,223,777
98,3,1,207,219,132,14,5,376,2,9,2,0,0,10,4,2,1,1,1,0,527,473
99,1,0,95,132,98,20,0,600,3,6,2,2,0,17,1,1,2,0,0,0,676,324
